sample_id,dsid,file,filename,descriptor,generator,simulation_config,xsec_pb,k_factor,filter_eff,sumw,sumw2,num_events,entries,effective_lumi_fb
423105,423105,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423105.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423105.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP280_500,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP280_500,344260.0,1.0,5.6e-05,1428000.0,1428000.0,1428000,47749,74.07192238424447
423106,423106,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423106.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP500_800.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423106.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP500_800.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP500_800,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP500_800,23729.0,1.0,5.3e-05,150000.0,150000.0,150000,7320,119.27130006512212
423107,423107,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423107.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP800_1000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423107.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP800_1000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP800_1000,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP800_1000,2286.9,1.0,3.5e-05,80000.0,80000.0,80000,5184,999.4815189620384
423108,423108,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423108.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1000_1500.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423108.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1000_1500.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1000_1500,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP1000_1500,702.03,1.0,3.7e-05,98000.0,98000.0,98000,7630,3772.8425404165755
423109,423109,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423109.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1500_2000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423109.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1500_2000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP1500_2000,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP1500_2000,39.345,1.0,3.7e-05,30000.0,30000.0,30000,3066,20607.721713325984
423110,423110,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423110.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423110.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2000_2500,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP2000_2500,3.3277,1.0,3.4e-05,20000.0,20000.0,20000,2397,176769.3284002906
423111,423111,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423111.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423111.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP2500_3000,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP2500_3000,0.32495,1.0,3e-05,30000.0,30000.0,30000,4145,3077396.5225419295
423112,423112,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423112.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423112.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP3000_inf,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP3000_inf,0.03148,1.0,2.9e-05,20000.0,20000.0,20000,3023,21907724.663716428
448624,448624,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_448624.MGPy8EG_A14N23LO_TT_higgsinoRPV_1075_700.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_448624.MGPy8EG_A14N23LO_TT_higgsinoRPV_1075_700.GamGam.root,MGPy8EG_A14N23LO_TT_higgsinoRPV_1075_700,MGPy8EG,A14N23LO_TT_higgsinoRPV_1075_700,0.00399,1.0,1.0,10119.618164,10263.433594,10000,138,2536.2451538847117
449595,449595,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_449595.MGPy8EG_A14N23LO_TT_RPVdirectBL_1400.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_449595.MGPy8EG_A14N23LO_TT_RPVdirectBL_1400.GamGam.root,MGPy8EG_A14N23LO_TT_RPVdirectBL_1400,MGPy8EG,A14N23LO_TT_RPVdirectBL_1400,0.000473,1.0,1.0,10079.364258,10173.826172,10000,183,21309.43817758985
450576,450576,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_450576.PowhegPythia8EvtGen_NNLOPS_nnlo_30_VBFH125_ZZllbb.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_450576.PowhegPythia8EvtGen_NNLOPS_nnlo_30_VBFH125_ZZllbb.GamGam.root,PowhegPythia8EvtGen_NNLOPS_nnlo_30_VBFH125_ZZllbb,PowhegPythia8EvtGen,NNLOPS_nnlo_30_VBFH125_ZZllbb,3.782,1.0,0.000534,187525.921875,717734.0625,50000,31,92853.55323709588
500335,500335,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_500335.MGH7EG_VBFHWWlvlv.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_500335.MGH7EG_VBFHWWlvlv.GamGam.root,MGH7EG_VBFHWWlvlv,MGH7EG,VBFHWWlvlv,3.782,1.0,0.02302,12292.896484,4224.01416,149000,82,141.19762140938306
500553,500553,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_500553.aMCPy8EG_ZH_FxFx_Hyy.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_500553.aMCPy8EG_ZH_FxFx_Hyy.GamGam.root,aMCPy8EG_ZH_FxFx_Hyy,aMCPy8EG,ZH_FxFx_Hyy,0.23306,1.0,0.00227,27014.501953,29889.462891,50000,21714,51062.65190639305
500554,500554,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_500554.aMCPy8EG_WH_FxFx_Hyy.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_500554.aMCPy8EG_WH_FxFx_Hyy.GamGam.root,aMCPy8EG_WH_FxFx_Hyy,aMCPy8EG,WH_FxFx_Hyy,0.4736,1.0,1.0,43894.246094,94603.3125,40000,16777,92.68210746199324
500555,500555,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_500555.aMCPy8EG_ggZH_Hyy.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_500555.aMCPy8EG_ggZH_Hyy.GamGam.root,aMCPy8EG_ggZH_Hyy,aMCPy8EG,ggZH_Hyy,0.015878,1.0,1.0,635.11853,10.084425,40000,21532,39.99990741907041
501058,501058,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_501058.MGPy8EG_StauStauDirect_200p0_1p0_TFilt.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_501058.MGPy8EG_StauStauDirect_200p0_1p0_TFilt.GamGam.root,MGPy8EG_StauStauDirect_200p0_1p0_TFilt,MGPy8EG,StauStauDirect_200p0_1p0_TFilt,0.030314,1.0,0.67784,1860.767822,74.083557,50000,259,90.55694181147119
506098,506098,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_506098.aMCPy8EG_WpH_FxFx_Htautau.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_506098.aMCPy8EG_WpH_FxFx_Htautau.GamGam.root,aMCPy8EG_WpH_FxFx_Htautau,aMCPy8EG,WpH_FxFx_Htautau,0.90303,1.0,1.0,131038.359375,653165.625,80000,192,145.109641290987
506099,506099,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_506099.aMCPy8EG_ZH_FxFx_Htautau.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_506099.aMCPy8EG_ZH_FxFx_Htautau.GamGam.root,aMCPy8EG_ZH_FxFx_Htautau,aMCPy8EG,ZH_FxFx_Htautau,0.78732,1.0,1.0,85720.039062,389729.65625,60000,144,108.8757291342783
506101,506101,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_506101.aMCH7EG_VBF_Htautauh30h20.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_506101.aMCH7EG_VBF_Htautauh30h20.GamGam.root,aMCH7EG_VBF_Htautauh30h20,aMCH7EG,VBF_Htautauh30h20,3.673,1.0,0.48527,731694.0625,12019270.0,200000,820,410.51134037382735
506102,506102,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_506102.aMCH7EG_VBF_Htautaul13l7.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_506102.aMCH7EG_VBF_Htautaul13l7.GamGam.root,aMCH7EG_VBF_Htautaul13l7,aMCH7EG,VBF_Htautaul13l7,3.6715,1.0,0.47017,604122.0625,9886059.0,164000,90,349.9663186374581
506103,506103,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_506103.aMCH7EG_VBF_Htautaulp15hm20.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_506103.aMCH7EG_VBF_Htautaulp15hm20.GamGam.root,aMCH7EG_VBF_Htautaulp15hm20,aMCH7EG,VBF_Htautaulp15hm20,3.6729,1.0,0.17845,441258.78125,7217989.5,120000,236,673.236579223405
